url,actors,area,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/26295987/,"[""夏菁"", ""陶慧敏"", ""傅艺伟"", ""刘晓庆"", ""林默予"", ""章杰"", ""李勇勇"", ""张蕾"", ""马丽娜"", ""闵英"", ""王斑"", ""林小解"", ""王玲"", ""苑卫华"", ""袁玫"", ""陈红"", ""马晓晴"", ""丁岚"", ""何赛飞""]",中国大陆,103,"[""谢铁骊"", ""赵元""]","[""爱情"", ""家庭"", ""古装""]",8.5,红楼梦 Ⅴ 晴雯夭亡,(1989),{}
https://movie.douban.com/subject/26295988/,"[""夏菁"", ""陶慧敏"", ""傅艺伟"", ""刘晓庆"", ""李秀明"", ""林默予"", ""赵丽蓉"", ""章杰"", ""邢红"", ""曾丹"", ""王敏宜"", ""宫景华"", ""姬麒麟"", ""周志宇"", ""倪雪华"", ""陈红"", ""马晓晴"", ""张蕾"", ""俞红菲"", ""甜甜"", ""丁岚"", ""李玲玉""]",中国大陆,96,"[""谢铁骊"", ""赵元""]","[""爱情"", ""家庭"", ""古装""]",8.2,红楼梦 Ⅵ 宝玉化石,(1989),{}
https://movie.douban.com/subject/26720946/,"[""谢尔盖·鲍鲁宁""]",英国 / 美国 / 俄罗斯 / 乌克兰,37,"[""Steven Cantor""]","[""纪录片"", ""传记""]",7.9,舞者 Dancer,(2016),{}
https://movie.douban.com/subject/26754742/,"[""市川实日子""]",日本,95,"[""NHK""]","[""纪录片"", ""短片""]",7.2,纪实72小时：情人节主题神社 ~爱神之所在~ ドキュメント72時間 恋に恋して バレンタイン神社,(2016),{}
https://movie.douban.com/subject/26715420/,"[""関ジャニ∞"", ""村上信五"", ""横山裕"", ""涩谷昴"", ""丸山隆平"", ""安田章大"", ""锦户亮"", ""大仓忠义""]",日本,108,[],"[""音乐"", ""脱口秀""]",9.6,関ジャム 完全燃SHOW,(2015),{}
https://movie.douban.com/subject/26789152/,"[""Hannah Fry"", ""Xand Van Tulleken""]",英国,55,[],"[""纪录片""]",6.5,地平线系列：网上寻爱指南 Horizon: How to Find Love Online,(2016),{}
https://movie.douban.com/subject/1294021/,"[""莱斯利·霍华德"", ""英格丽·褒曼"", ""爱德娜·贝斯特""]",美国,430,"[""格雷戈里·拉图弗""]","[""剧情"", ""爱情""]",7.2,寒夜琴挑 Intermezzo: A Love Story,(1939),{}
https://movie.douban.com/subject/1291553/,"[""陈女燕溪"", ""如琼"", ""Thi Loc Truong"", ""Anh Hoa Nguyen"", ""Hoa Hoi Vuong""]",越南 / 法国,25580,"[""陈英雄""]","[""剧情"", ""爱情"", ""音乐""]",7.8,青木瓜之味 Mùi Đu Đủ Xanh,(1993),{}
https://movie.douban.com/subject/26762936/,"[""铃木达央"", ""柿原徹也"", ""三宅健太"", ""宫野真守""]",日本,271,"[""増井壮一""]","[""动画""]",6.7,最终幻想15：兄弟 Brotherhood Final Fantasy XV,(2016),{}
https://movie.douban.com/subject/26363170/,"[""陈娅安"", ""张天爱"", ""屈楚萧"", ""李子峰"", ""李茜"", ""明道"", ""谭凯"", ""周奕彤"", ""崔可法"", ""李卓霖"", ""吴乙彤""]",中国大陆,1929,"[""陈昆晖""]","[""剧情"", ""爱情""]",3.9,我的朋友陈白露小姐,(2016),{}
