url,actors,audience,director,genre,rate,title,year,...
https://movie.douban.com/subject/26811779/,"[""李易峰"", ""赵丽颖"", ""杨紫"", ""成毅"", ""秦俊杰"", ""茅子俊"", ""陈创"", ""焦俊艳"", ""唐艺昕"", ""白雪"", ""傅程鹏"", ""舒畅"", ""熊乃瑾"", ""刘学义"", ""何中华"", ""黄海冰"", ""程诚"", ""赵立新"", ""李晨浩"", ""梁婧娴"", ""卢星宇"", ""谢宁"", ""杨旻娜"", ""姜鸿"", ""宗峰岩"", ""葛子铭"", ""杨旭文"", ""朴铄"", ""钱泳辰""]",6356,"[""朱锐斌"", ""周远舟"", ""刘国辉"", ""朱少杰""]","[""奇幻"", ""武侠"", ""古装""]",4.5,青云志2,(2016),{}
https://movie.douban.com/subject/26785786/,"[""陈成杰"", ""李政"", ""黄艳萍"", ""全青""]",275,"[""V7"", ""萨拉雷""]","[""剧情"", ""科幻"", ""动画"", ""音乐"", ""战争"", ""冒险""]",8.3,超神学院之黑甲,(2016),{}
https://movie.douban.com/subject/26730276/,"[""马诺"", ""胡北"", ""高森鹏"", ""刘谋峰"", ""Edward Zee""]",182,"[""刘谋峰""]",[],2.3,火星归来,(2016),{}
https://movie.douban.com/subject/1727285/,"[""艾迪"", ""冯爱慈"", ""金兴贤"", ""嘉伦"", ""刘雅丽""]",536,"[""章国明""]","[""剧情"", ""犯罪""]",7.9,边缘人 邊緣人,(1981),{}
https://movie.douban.com/subject/26603758/,"[""马浴柯"", ""吴昕"", ""潘粤明"", ""王景春"", ""莫小棋"", ""朱雨辰"", ""洪天明"", ""陈国坤""]",1328,"[""彭发""]","[""悬疑"", ""惊悚""]",4.1,探灵档案,(2015),{}
https://movie.douban.com/subject/25963283/,"[""许晴"", ""林永健"", ""王晓晨"", ""温升豪"", ""薛之谦"", ""李菁菁"", ""周冬齐"", ""陈莎莉"", ""朱铁"", ""周炜"", ""林龙麒""]",1906,"[""张多福""]","[""剧情"", ""喜剧""]",6.1,妈妈像花儿一样,(2015),{}
https://movie.douban.com/subject/25787902/,"[""王睿"", ""林逸欣"", ""姚淳耀"", ""刘令萱"", ""钟欣怡"", ""九孔"", ""沈玉琳"", ""沈文程"", ""林美贞"", ""林美照""]",148,"[""黄朝亮"", ""李典勇""]","[""剧情""]",5.3,痞子遇到愛,(2014),{}
https://movie.douban.com/subject/25856480/,"[""古天乐"", ""郭采洁"", ""徐正曦"", ""刘梓妍"", ""方中信"", ""胡静"", ""文咏珊"", ""陈友"", ""雷宇扬"", ""诗雅"", ""吴嘉龙"", ""陈家乐""]",10822,"[""阮世生""]","[""喜剧"", ""爱情""]",5.5,巴黎假期,(2015),{}
https://movie.douban.com/subject/26721387/,"[""刘思颖"", ""崔小碗"", ""崔越洋"", ""李一哲""]",35,"[""黄彬昊"", ""吕磊""]","[""剧情"", ""爱情""]",3.3,颜值江湖,(2016),{}
https://movie.douban.com/subject/25780584/,"[""宋慧乔"", ""窦骁"", ""陈乔恩"", ""杨祐宁"", ""邬君梅"", ""姜武"", ""郑元畅"", ""秦昊"", ""伊能静""]",13101,"[""伊能静""]","[""剧情"", ""爱情""]",4.1,我是女王,(2015),{}
https://movie.douban.com/subject/25881780/,"[""汤唯"", ""廖凡"", ""苏岩"", ""方芳"", ""刘韬"", ""谢东燊""]",39838,"[""张皓""]","[""喜剧"", ""爱情""]",5.7,命中注定,(2015),{}
https://movie.douban.com/subject/26125864/,"[""凌潇肃"", ""李彩桦"", ""江祖平"", ""杨浩煜"", ""郑佩佩""]",322,"[""高先明""]","[""剧情""]",3.0,情谜睡美人,(2014),{}
https://movie.douban.com/subject/26710701/,"[""何映桥"", ""卢沁希"", ""舒强""]",37,"[""邓安东""]",[],2.2,僵尸侠,(2016),{}
