user,userid,item,itemid,score_all
中国扶贫基金会,104,广西壮族自治区扶贫基金会,568,32.79999924
中国扶贫基金会,104,广西帮帮忙教育扶贫基金会,572,23.20000076
中国扶贫基金会,104,武汉市社会组织发展基金会,650,24.70000076
中国扶贫基金会,104,河北进德公益基金会,698,34.90000153
中国扶贫基金会,104,湖北大学教育发展基金会,806,28.89999962
中国扶贫基金会,104,湖南省扶贫基金会,832,34.90000153
中国扶贫基金会,104,重庆市武隆县扶贫基金会,979,24.70000076
中国拥军优属基金会,105,深圳市见义勇为基金会,795,39.70000076
中国教师发展基金会,106,内蒙古自治区人民教育基金会,174,45.70000076
中国教育发展基金会,107,上海交通大学教育发展基金会,4,24.70000076
中国教育发展基金会,107,上海复旦大学教育发展基金会,12,24.70000076
中国教育发展基金会,107,乐至县教育基金会,136,31.89999962
中国教育发展基金会,107,剑阁县教育基金会,186,36.09999847
中国教育发展基金会,107,北京健康长城公益基金会,208,24.70000076
中国教育发展基金会,107,北京外国语大学教育基金会,227,26.79999924
中国教育发展基金会,107,北京大学教育基金会,228,49.90000153
中国教育发展基金会,107,南阳市教育发展基金会,348,33.70000076
中国教育发展基金会,107,四川省广安市教育基金会,398,24.70000076
中国教育发展基金会,107,四川省教育基金会,401,45.70000076
中国教育发展基金会,107,安岳县教育基金会,442,37.29999924
中国教育发展基金会,107,德阳市教育基金会,588,26.79999924
中国教育发展基金会,107,清华大学教育基金会,802,24.70000076
中国教育发展基金会,107,湖南省南华大学教育基金会,823,36.70000076
中国教育发展基金会,107,绵阳市涪城区益生教育基金会,896,29.79999924
中国教育发展基金会,107,贵州省教育发展基金会,929,42.70000076
中国教育发展基金会,107,都江堰市教育发展基金会,968,27.70000076
中国文学艺术基金会,109,中国少数民族文化艺术基金会,100,42.70000076
中国文学艺术基金会,109,中国民航科普基金会,109,27.70000076
中国残疾人福利基金会,111,上海市残疾人福利基金会,28,34
中国残疾人福利基金会,111,云南省残疾人福利基金会,150,55.90000153
中国残疾人福利基金会,111,内蒙古自治区残疾人福利基金会,178,57.09999847
中国残疾人福利基金会,111,北京市残疾人福利基金会,253,38.20000076
中国残疾人福利基金会,111,厦门残疾人福利基金会,353,45.40000153
中国残疾人福利基金会,111,吉林省残疾人福利基金会,369,72.69999695
中国残疾人福利基金会,111,哈尔滨市残疾人福利基金会,383,45.40000153
中国残疾人福利基金会,111,四川省残疾人福利基金会,402,64.30000305
中国残疾人福利基金会,111,大连市残疾人福利基金会,411,38.20000076
中国残疾人福利基金会,111,天津市残疾人福利基金会,420,50.79999924
中国残疾人福利基金会,111,宁夏回族自治区残疾人福利基金会,435,55
中国残疾人福利基金会,111,安徽省残疾人福利基金会,450,27.70000076
中国残疾人福利基金会,111,宝鸡市残疾人福利基金会,458,31.89999962
中国残疾人福利基金会,111,山东省残疾人福利基金会,470,43.29999924
中国残疾人福利基金会,111,山西省残疾人福利基金会,481,58.90000153
中国残疾人福利基金会,111,广东省残疾人公益基金会,529,46.59999847
中国残疾人福利基金会,111,广西残疾人福利基金会,574,48.70000076
中国残疾人福利基金会,111,延安市残疾人福利基金会,580,31.89999962
中国残疾人福利基金会,111,成都市残疾人福利基金会,595,26.79999924
中国残疾人福利基金会,111,新疆生产建设兵团残疾人福利基金会,609,26.79999924
中国残疾人福利基金会,111,新疆维吾尔自治区残疾人福利基金会,612,58
中国残疾人福利基金会,111,武汉市残疾人福利基金会,648,55.90000153
中国残疾人福利基金会,111,江苏省残疾人福利基金会,669,37
中国残疾人福利基金会,111,江西省残疾人福利基金会,681,58
中国残疾人福利基金会,111,河北省残疾人福利基金会,691,68.19999695
中国残疾人福利基金会,111,河北省邢台残疾人福利基金会,695,26.79999924
中国残疾人福利基金会,111,河南省残疾人福利基金会,710,72.69999695
中国残疾人福利基金会,111,济南市残疾人福利基金会,723,40.29999924
中国残疾人福利基金会,111,浙江省残疾人福利基金会,743,43.29999924
中国残疾人福利基金会,111,海南省残疾人基金会,754,39.09999847
中国残疾人福利基金会,111,湖南省残疾人福利基金会,836,38.20000076
中国残疾人福利基金会,111,甘肃省残疾人福利基金会,861,60.09999847
中国残疾人福利基金会,111,福建省残疾人福利基金会,885,31.89999962
